Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
Свободное назначение · 121 м²,75000000,619835,Алматы,,1980.0,121.0,22 нояб.,3686
"Азс, автосервисы и автомойки · 150 м²",42000000,280000,Алматы,,2015.0,150.0,22 нояб.,354
Офисы · 9.1 м²,12740000,1400000,Алматы,,,9.1,22 нояб.,225
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 402 м²",250000000,621891,Алматы,,,402.0,22 нояб.,34
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 72 м²",70000000,972222,Алматы,,2023.0,72.0,22 нояб.,32
Свободное назначение · 142 м²,131000000,922535,Алматы,,2007.0,142.0,22 нояб.,1338
Офисы · 377.17 м²,661521858,1753909,Алматы,,2024.0,377.17,22 нояб.,336
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 372.5 м²",409750000,1100000,Алматы,,1976.0,372.5,22 нояб.,18
"Образование, развлечения · 504 м²",450000000,892857,Алматы,,2014.0,504.0,22 нояб.,255
Свободное назначение · 637.6 м²,690000000,1082183,Алматы,,2009.0,637.6,22 нояб.,1724
"Свободное назначение, офисы, магазины и бутики, общепит, медцентры и аптеки, образование · 7289 м²",2000000000,274386,Алматы,,1971.0,7289.0,22 нояб.,3364
Склады · 7.4 м²,1600000,216216,Алматы,,,7.4,22 нояб.,223
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 83.3 м²",30604121,367396,Алматы,,2013.0,83.3,22 нояб.,1485
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 95.8 м²",35070272,366078,Алматы,,2013.0,95.8,22 нояб.,1360
"Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 11000 м²",25000000000,2272727,Алматы,,,11000.0,22 нояб.,73
Свободное назначение · 114 м²,164999000,1447360,Алматы,,,114.0,22 нояб.,97
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 500 м²",560000000,1120000,Алматы,,1980.0,500.0,22 нояб.,121
Офисы · 232 м²,231907000,999599,Алматы,,,232.0,22 нояб.,1222
Свободное назначение · 540 м²,579000000,1072222,Алматы,,,540.0,22 нояб.,134
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 84 м²",100000000,1190476,Алматы,,2017.0,84.0,22 нояб.,50
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование · 31 м²",19500000,629032,Алматы,,2015.0,31.0,22 нояб.,43
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 787.9 м²",850000000,1078817,Алматы,,2001.0,787.9,22 нояб.,1227
"Свободное назначение, офисы, склады, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 375 м²",350000000,933333,Алматы,,2002.0,375.0,22 нояб.,337
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 475 м²",800000000,1684211,Алматы,,2023.0,475.0,22 нояб.,35
"Свободное назначение, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения · 580 м²",350000000,603448,Алматы,,,580.0,22 нояб.,344
"Свободное назначение, офисы, магазины и бутики, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2700 м²",2000000000,740741,Алматы,,2013.0,2700.0,22 нояб.,201
"Офисы, магазины и бутики, салоны красоты · 77.2 м²",110000000,1424870,Алматы,,1959.0,77.2,22 нояб.,4051
Офисы · 211 м²,564000000,2672986,Алматы,,,211.0,22 нояб.,1212
Офисы · 1800 м²,780000000,433333,Алматы,,,1800.0,22 нояб.,5652
Магазины и бутики · 5108 м²,2500000000,489428,Алматы,,,5108.0,22 нояб.,5494
Свободное назначение · 41.6 м²,9000000,216346,Алматы,,2020.0,41.6,22 нояб.,84
"Свободное назначение, офисы · 1800 м²",780000000,433333,Алматы,,2011.0,1800.0,22 нояб.,8727
"Свободное назначение, офисы, склады, азс, автосервисы и автомойки, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2040 м²",1050000000,514706,Алматы,,2024.0,2040.0,22 нояб.,123
"Свободное назначение, офисы · 487 м²",120000000,246407,Алматы,,2008.0,487.0,22 нояб.,2036
"Свободное назначение, магазины и бутики, склады, общепит · 750 м²",550000000,733333,Алматы,,2005.0,750.0,22 нояб.,6563
Свободное назначение · 52.4 м²,100000000,1908397,Алматы,,2022.0,52.4,22 нояб.,696
Магазины и бутики · 64 м²,50000000,781250,Алматы,,,64.0,22 нояб.,4898
"Свободное назначение, магазины и бутики · 10 м²",1500000,150000,Алматы,,2024.0,10.0,22 нояб.,999
Свободное назначение · 137 м²,11999000,87584,Алматы,,2013.0,137.0,22 нояб.,4291
Магазины и бутики · 2000 м²,1999999999,1000000,Алматы,,,2000.0,22 нояб.,1612
"Свободное назначение, офисы, магазины и бутики, склады, общепит · 60 м²",54500000,908333,Алматы,,1987.0,60.0,22 нояб.,29
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 42 м²",34500000,821429,Алматы,,1983.0,42.0,22 нояб.,1180
Общепит · 600 м²,240000000,400000,Алматы,,2010.0,600.0,22 нояб.,1900
Магазины и бутики · 55 м²,46000000,836364,Алматы,,2022.0,55.0,22 нояб.,642
Свободное назначение · 108 м²,81000000,750000,Алматы,,2023.0,108.0,22 нояб.,39
"Свободное назначение, магазины и бутики, медцентры и аптеки · 65 м²",65000000,1000000,Алматы,,,65.0,22 нояб.,374
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 700 м²",230000000,328571,Алматы,,2011.0,700.0,22 нояб.,739
"Свободное назначение, офисы · 3200 м²",4600000000,1437500,Алматы,,2009.0,3200.0,22 нояб.,1136
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2000 м²",1100000000,550000,Алматы,,2010.0,2000.0,22 нояб.,1980
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 55 м²",77000000,1400000,Алматы,,1970.0,55.0,22 нояб.,4171
"Свободное назначение, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 9199.6 м²",4800000000,521762,Алматы,,,9199.6,22 нояб.,463
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 252.3 м²",330000000,1307967,Алматы,,,252.3,22 нояб.,36
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 491.3 м²",360000000,732750,Алматы,,,491.3,22 нояб.,338
"Свободное назначение, офисы · 59.6 м²",27440000,460403,Алматы,,2010.0,59.6,22 нояб.,179
Свободное назначение · 18.1 м²,15000000,828729,Алматы,,2013.0,18.1,22 нояб.,417
"Свободное назначение, магазины и бутики, общепит, салоны красоты · 55 м²",25555555,464646,Алматы,,2023.0,55.0,22 нояб.,304
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 95 м²",34900000,367368,Алматы,,2023.0,95.0,22 нояб.,197
"Свободное назначение, офисы, медцентры и аптеки, образование · 400 м²",490000000,1225000,Алматы,,2015.0,400.0,22 нояб.,229
"Бани, гостиницы и зоны отдыха · 1510 м²",650000000,430464,Алматы,,2021.0,1510.0,22 нояб.,32
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 102 м²",100000000,980392,Алматы,,2010.0,102.0,22 нояб.,1659
Офисы · 84.6 м²,57500000,679669,Алматы,,1988.0,84.6,22 нояб.,1607
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 5600 м²",3500000000,625000,Алматы,,2010.0,5600.0,22 нояб.,324
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 7443 м²",2800000000,376192,Алматы,,2016.0,7443.0,22 нояб.,169
"Свободное назначение, общепит · 72 м²",58000000,805556,Алматы,,2003.0,72.0,22 нояб.,381
Офисы · 802.5 м²,300000000,373832,Алматы,,1992.0,802.5,22 нояб.,3612
Салоны красоты · 47 м²,30000000,638298,Алматы,,2021.0,47.0,22 нояб.,782
"Свободное назначение, офисы · 72 м²",57990000,805417,Алматы,,1960.0,72.0,22 нояб.,721
Магазины и бутики · 161 м²,110000000,683230,Алматы,,,161.0,22 нояб.,2823
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 558.8 м²",776676000,1389900,Алматы,,,558.8,22 нояб.,621
Свободное назначение · 160.7 м²,321400000,2000000,Алматы,,,160.7,22 нояб.,763
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 55 м²",25000000,454545,Алматы,,2021.0,55.0,22 нояб.,913
"Свободное назначение, магазины и бутики, склады, салоны красоты, развлечения · 65 м²",27300000,420000,Алматы,,2017.0,65.0,22 нояб.,1472
"Свободное назначение, офисы, магазины и бутики, склады, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 602 м²",172000000,285714,Алматы,,,602.0,22 нояб.,231
"Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 84 м²",55000000,654762,Алматы,,2023.0,84.0,22 нояб.,2261
"Свободное назначение, склады · 17 м²",6500000,382353,Алматы,,2009.0,17.0,22 нояб.,207
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 220 м²",80000000,363636,Алматы,,2009.0,220.0,22 нояб.,1220
Общепит · 15 м²,2700000,180000,Алматы,,2022.0,15.0,22 нояб.,406
Свободное назначение · 214.1 м²,175000000,817375,Алматы,,2021.0,214.1,22 нояб.,1475
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 17 м²",22500000,1323529,Алматы,,1956.0,17.0,22 нояб.,2563
"Свободное назначение, магазины и бутики, азс, автосервисы и автомойки · 80 м²",4000000,50000,Алматы,,2020.0,80.0,22 нояб.,1765
Магазины и бутики · 600 м²,200000000,333333,Алматы,,2023.0,600.0,22 нояб.,705
Медцентры и аптеки · 74 м²,80000000,1081081,Алматы,,1968.0,74.0,22 нояб.,420
Свободное назначение · 2379.8 м²,3569700000,1500000,Алматы,,2020.0,2379.8,22 нояб.,205
Свободное назначение · 798.6 м²,1197900000,1500000,Алматы,,2019.0,798.6,22 нояб.,149
Свободное назначение · 762 м²,1143000000,1500000,Алматы,,2020.0,762.0,22 нояб.,102
"Свободное назначение, офисы · 509.1 м²",763650000,1500000,Алматы,,2021.0,509.1,22 нояб.,275
Свободное назначение · 2351 м²,3526500000,1500000,Алматы,,2021.0,2351.0,22 нояб.,107
Свободное назначение · 790.7 м²,1186050000,1500000,Алматы,,2020.0,790.7,22 нояб.,125
Свободное назначение · 1041 м²,600000000,576369,Алматы,,2010.0,1041.0,22 нояб.,86
Магазины и бутики · 46 м²,45000000,978261,Алматы,,1968.0,46.0,22 нояб.,2496
"Свободное назначение, офисы, бани, гостиницы и зоны отдыха · 7133 м²",3500000000,490677,Алматы,,,7133.0,22 нояб.,984
Магазины и бутики · 17.5 м²,20000000,1142857,Алматы,,,17.5,22 нояб.,726
"Офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки · 61 м²",65000000,1065574,Алматы,,2024.0,61.0,22 нояб.,2399
"Свободное назначение, офисы · 750 м²",290000000,386667,Алматы,,2010.0,750.0,22 нояб.,231
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 89.8 м²",35000000,389755,Алматы,,2023.0,89.8,22 нояб.,308
"Офисы, магазины и бутики, салоны красоты · 196.4 м²",79000000,402240,Алматы,,2007.0,196.4,22 нояб.,100
"Бани, гостиницы и зоны отдыха · 900 м²",390000000,433333,Алматы,,2022.0,900.0,22 нояб.,637
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения · 90 м²",110000000,1222222,Алматы,,,90.0,22 нояб.,752
Магазины и бутики · 24 м²,8000000,333333,Алматы,,2024.0,24.0,22 нояб.,115
"Свободное назначение, офисы, склады, общепит · 315 м²",128000000,406349,Алматы,,2020.0,315.0,22 нояб.,246
"Свободное назначение, офисы · 160 м²",250000000,1562500,Алматы,,2018.0,160.0,22 нояб.,67
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2500 м²",400000000,160000,Алматы,,,2500.0,22 нояб.,105
Свободное назначение · 122.2 м²,85000000,695581,Алматы,,2009.0,122.2,22 нояб.,506
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 97 м²",55000000,567010,Алматы,,2013.0,97.0,22 нояб.,228
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 14 м²",4000000,285714,Алматы,,2020.0,14.0,21 нояб.,2903
"Офисы, магазины и бутики, салоны красоты · 121.4 м²",185000000,1523888,Алматы,,1959.0,121.4,21 нояб.,1923
Салоны красоты · 137.6 м²,150000000,1090116,Алматы,,2015.0,137.6,21 нояб.,522
Склады · 5800 м²,2700000000,465517,Алматы,,2005.0,5800.0,21 нояб.,3748
Свободное назначение · 1396.9 м²,2025505000,1450000,Алматы,,,1396.9,21 нояб.,75
"Свободное назначение, салоны красоты · 168 м²",97000000,577381,Алматы,,2009.0,168.0,21 нояб.,3998
Свободное назначение · 1025 м²,340000000,331707,Алматы,,2005.0,1025.0,21 нояб.,420
Свободное назначение · 60.8 м²,69920000,1150000,Алматы,,2025.0,60.8,21 нояб.,39
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 9000 м²",8900000000,988889,Алматы,,2025.0,9000.0,21 нояб.,828
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 6000 м²",5000000000,833333,Алматы,,2025.0,6000.0,21 нояб.,654
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 100 м²",54800005,548000,Алматы,,2023.0,100.0,21 нояб.,2352
"Магазины и бутики, салоны красоты, медцентры и аптеки, образование · 48 м²",31000000,645833,Алматы,,2021.0,48.0,21 нояб.,50
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 94 м²",51000000,542553,Алматы,,2012.0,94.0,21 нояб.,331
"Свободное назначение, офисы, образование · 678 м²",1200000000,1769912,Алматы,,1998.0,678.0,21 нояб.,698
"Офисы, салоны красоты · 310 м²",150000000,483871,Алматы,,2007.0,310.0,21 нояб.,352
"Офисы, образование, развлечения · 132.4 м²",132400000,1000000,Алматы,,2024.0,132.4,21 нояб.,252
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 201 м²",300000000,1492537,Алматы,,2021.0,201.0,21 нояб.,59
"Свободное назначение, офисы · 7442.4 м²",2800000000,376223,Алматы,,2016.0,7442.4,21 нояб.,340
"Свободное назначение, магазины и бутики · 183 м²",110000000,601093,Алматы,,2009.0,183.0,21 нояб.,4335
"Свободное назначение, офисы, образование · 350.1 м²",80188000,229043,Алматы,,1994.0,350.1,21 нояб.,8211
Свободное назначение · 59 м²,28000000,474576,Алматы,,2023.0,59.0,21 нояб.,18
"Азс, автосервисы и автомойки, общепит, салоны красоты · 800 м²",950000000,1187500,Алматы,,2020.0,800.0,21 нояб.,1959
"Свободное назначение, офисы, магазины и бутики, салоны красоты, образование, развлечения · 200 м²",55000000,275000,Алматы,,2020.0,200.0,21 нояб.,1013
"Офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки · 76.1 м²",130000000,1708279,Алматы,,1962.0,76.1,21 нояб.,894
"Салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки · 2030.9 м²",650000000,320055,Алматы,,2014.0,2030.9,21 нояб.,80
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения · 233 м²",390000000,1673820,Алматы,,2021.0,233.0,21 нояб.,372
"Офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование · 95 м²",48000000,505263,Алматы,,2021.0,95.0,21 нояб.,82
"Свободное назначение, офисы, салоны красоты · 670 м²",400000000,597015,Алматы,,,670.0,21 нояб.,1709
Офисы · 250 м²,151000000,604000,Алматы,,2013.0,250.0,21 нояб.,573
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 500 м²",850000000,1700000,Алматы,,2022.0,500.0,21 нояб.,74
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 120 м²",200000000,1666667,Алматы,,2023.0,120.0,21 нояб.,1444
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 127.5 м²",165000000,1294118,Алматы,,,127.5,21 нояб.,76
"Свободное назначение, магазины и бутики, салоны красоты · 200 м²",335000000,1675000,Алматы,,,200.0,21 нояб.,1008
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 42 м²",36000000,857143,Алматы,,,42.0,21 нояб.,3803
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки · 230 м²",82000000,356522,Алматы,,2014.0,230.0,21 нояб.,868
Свободное назначение · 255 м²,95000000,372549,Алматы,,2005.0,255.0,21 нояб.,161
"Свободное назначение, салоны красоты · 50 м²",13000000,260000,Алматы,,2024.0,50.0,21 нояб.,687
"Свободное назначение, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование · 65 м²",15000000,230769,Алматы,,2018.0,65.0,21 нояб.,2125
"Свободное назначение, офисы, образование, развлечения · 240.1 м²",108045000,450000,Алматы,,2012.0,240.1,21 нояб.,294
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование · 125.2 м²",65000000,519169,Алматы,,2021.0,125.2,21 нояб.,129
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 250.9 м²",501800000,2000000,Алматы,,2021.0,250.9,21 нояб.,50
"Свободное назначение, общепит, развлечения · 2020 м²",1435500000,710644,Алматы,,2015.0,2020.0,21 нояб.,258
Салоны красоты · 30 м²,20000000,666667,Алматы,,2022.0,30.0,21 нояб.,1977
"Азс, автосервисы и автомойки · 216.5 м²",1200000000,5542725,Алматы,,2003.0,216.5,21 нояб.,503
"Свободное назначение, общепит · 500 м²",100000000,200000,Алматы,,2007.0,500.0,21 нояб.,2767
"Офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки · 86.4 м²",76500000,885417,Алматы,,,86.4,21 нояб.,25
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2417.2 м²",330000000,136522,Алматы,,,2417.2,21 нояб.,24
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 264 м²",241500000,914773,Алматы,,2008.0,264.0,21 нояб.,537
"Свободное назначение, офисы, магазины и бутики, салоны красоты, развлечения · 78 м²",38000000,487179,Алматы,,2009.0,78.0,21 нояб.,299
"Свободное назначение, офисы, магазины и бутики, салоны красоты, образование · 260 м²",695000000,2673077,Алматы,,2023.0,260.0,21 нояб.,35
"Офисы, магазины и бутики · 62 м²",83000000,1338710,Алматы,,,62.0,21 нояб.,11
"Офисы, магазины и бутики, медцентры и аптеки, образование · 920 м²",950000000,1032609,Алматы,,,920.0,21 нояб.,11
"Свободное назначение, склады · 48.2 м²",3500000,72614,Алматы,,2023.0,48.2,21 нояб.,63
"Офисы, магазины и бутики, общепит · 153.1 м²",184000000,1201829,Алматы,,,153.1,21 нояб.,11
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 260.49 м²",713000000,2737149,Алматы,,2023.0,260.49,21 нояб.,61
"Магазины и бутики, склады, общепит, бани, гостиницы и зоны отдыха, развлечения · 4600 м²",900000000,195652,Алматы,,,4600.0,21 нояб.,9
"Магазины и бутики, общепит, салоны красоты, медцентры и аптеки · 277.3 м²",559200000,2016589,Алматы,,,277.3,21 нояб.,15
"Азс, автосервисы и автомойки · 1416 м²",470000000,331921,Алматы,,,1416.0,21 нояб.,5076
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 250 м²",140000000,560000,Алматы,,2021.0,250.0,21 нояб.,78
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, развлечения · 52 м²",47000000,903846,Алматы,,,52.0,21 нояб.,61
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 87 м²",75000000,862069,Алматы,,,87.0,21 нояб.,44
Склады · 2.3 м²,490000,213043,Алматы,,,2.3,21 нояб.,286
Склады · 54 м²,5000000,92593,Алматы,,,54.0,21 нояб.,39
Свободное назначение · 741 м²,149900000,202294,Алматы,,1975.0,741.0,21 нояб.,501
"Общепит, развлечения · 899.3 м²",600000000,667186,Алматы,,2018.0,899.3,21 нояб.,3671
Свободное назначение · 5060 м²,1600000000,316206,Алматы,,1958.0,5060.0,21 нояб.,7
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 177.9 м²",17000000,95559,Алматы,,2020.0,177.9,21 нояб.,61
"Свободное назначение, магазины и бутики, салоны красоты, образование · 283.5 м²",686000000,2419753,Алматы,,2021.0,283.5,21 нояб.,50
"Свободное назначение, магазины и бутики · 308 м²",535000000,1737013,Алматы,,,308.0,21 нояб.,43
"Свободное назначение, магазины и бутики, салоны красоты · 270.7 м²",501000000,1850757,Алматы,,,270.7,21 нояб.,40
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 90.9 м²",75000000,825083,Алматы,,2021.0,90.9,21 нояб.,38
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, образование, развлечения · 505 м²",320000000,633663,Алматы,,2018.0,505.0,21 нояб.,33
Общепит · 18 м²,3600000,200000,Алматы,,,18.0,21 нояб.,149
Свободное назначение · 290 м²,145000000,500000,Алматы,,2016.0,290.0,21 нояб.,179
"Свободное назначение, магазины и бутики, склады, салоны красоты, образование, развлечения · 70 м²",95000000,1357143,Алматы,,,70.0,21 нояб.,24
Магазины и бутики · 126 м²,95000000,753968,Алматы,,,126.0,21 нояб.,804
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, развлечения · 163.7 м²",87000000,531460,Алматы,,1984.0,163.7,21 нояб.,32
"Магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 92 м²",44000000,478261,Алматы,,2023.0,92.0,21 нояб.,85
Общепит · 137 м²,180000000,1313869,Алматы,,2021.0,137.0,21 нояб.,33
"Свободное назначение, офисы, магазины и бутики, склады · 6 м²",3000000,500000,Алматы,,,6.0,21 нояб.,115
"Магазины и бутики, склады · 120 м²",24000000,200000,Алматы,,,120.0,21 нояб.,339
Образование · 250 м²,100000000,400000,Алматы,,2015.0,250.0,21 нояб.,623
Склады · 6.3 м²,1500000,238095,Алматы,,,6.3,21 нояб.,380
Свободное назначение · 1417.8 м²,495000000,349132,Алматы,,1980.0,1417.8,21 нояб.,6552
Свободное назначение · 180.3 м²,100000000,554631,Алматы,,2005.0,180.3,21 нояб.,5827
Свободное назначение · 242 м²,237000000,979339,Алматы,,,242.0,21 нояб.,3704
"Свободное назначение, офисы, склады, образование, развлечения · 84 м²",93000000,1107143,Алматы,,2006.0,84.0,21 нояб.,10
Свободное назначение · 118 м²,47000000,398305,Алматы,,2019.0,118.0,21 нояб.,2138
"Свободное назначение, офисы, медцентры и аптеки, образование · 1200 м²",950000000,791667,Алматы,,2007.0,1200.0,21 нояб.,1171
"Магазины и бутики, салоны красоты, медцентры и аптеки, образование · 98 м²",60000000,612245,Алматы,,2022.0,98.0,21 нояб.,357
Свободное назначение · 70.7 м²,31500000,445545,Алматы,,2016.0,70.7,21 нояб.,2016
Свободное назначение · 7776 м²,3909300000,502739,Алматы,,1978.0,7776.0,21 нояб.,5343
"Магазины и бутики, склады, общепит, салоны красоты, образование, развлечения · 250 м²",46000000,184000,Алматы,,2023.0,250.0,21 нояб.,852
Свободное назначение · 183.8 м²,34000000,184984,Алматы,,2020.0,183.8,21 нояб.,1448
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 330 м²",386999000,1172724,Алматы,,2010.0,330.0,21 нояб.,28
Склады · 4.6 м²,1600000,347826,Алматы,,2021.0,4.6,21 нояб.,311
Магазины и бутики · 54 м²,80000000,1481481,Алматы,,,54.0,21 нояб.,2992
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 259.7 м²",85000000,327301,Алматы,,1977.0,259.7,21 нояб.,4104
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 570 м²",500000000,877193,Алматы,,2024.0,570.0,21 нояб.,40
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 139 м²",251260000,1807626,Алматы,,2024.0,139.0,21 нояб.,44
"Свободное назначение, офисы, магазины и бутики, склады, образование, развлечения · 438 м²",31000000,70776,Алматы,,2008.0,438.0,21 нояб.,476
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты · 335 м²",200000000,597015,Алматы,,1972.0,335.0,21 нояб.,4118
Магазины и бутики · 270.7 м²,201000000,742519,Алматы,,,270.7,21 нояб.,3528
"Свободное назначение, офисы, бани, гостиницы и зоны отдыха, образование, развлечения · 1400 м²",866000000,618571,Алматы,,2017.0,1400.0,21 нояб.,282
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 327.1 м²",265000000,810150,Алматы,,,327.1,21 нояб.,27
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 87.4 м²",75000000,858124,Алматы,,2024.0,87.4,21 нояб.,32
Офисы · 161 м²,135000000,838509,Алматы,,2008.0,161.0,21 нояб.,724
Свободное назначение · 1800 м²,1125000000,625000,Алматы,,1953.0,1800.0,21 нояб.,834
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 104 м²",135200000,1300000,Алматы,,2024.0,104.0,21 нояб.,92
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 196.7 м²",280000000,1423488,Алматы,,,196.7,21 нояб.,30
