Название,Цена(тенге),Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м),Этаж,Дата,Просмотрено
3-комнатная квартира · 54.9 м² · 5/10 этаж,40000000,Алматы,Ауэзовский,2017.0,3,54.9,5.0,23 нояб.,80
3-комнатная квартира · 98 м² · 4/16 этаж,37000000,Алматы,,2012.0,3,98.0,4.0,23 нояб.,3077
4-комнатная квартира · 84.2 м² · 9/10 этаж,51500000,Алматы,Наурызбайский,2013.0,4,84.2,9.0,23 нояб.,1187
5-комнатная квартира · 200 м² · 9/9 этаж,250000000,Алматы,,2007.0,5,200.0,9.0,23 нояб.,775
4-комнатная квартира · 223.7 м² · 6/7 этаж,390000000,Алматы,,2017.0,4,223.7,6.0,23 нояб.,2030
4-комнатная квартира · 226 м² · 2/5 этаж,250000000,Алматы,,2004.0,4,226.0,2.0,23 нояб.,679
9-комнатная квартира · 330 м² · 6/7 этаж,480000000,Алматы,,2017.0,9,330.0,6.0,23 нояб.,1830
4-комнатная квартира · 125 м² · 8/12 этаж,120000000,Алматы,,2019.0,4,125.0,8.0,23 нояб.,3303
1-комнатная квартира · 30 м² · 4/10 этаж,16800000,Алматы,,2022.0,1,30.0,4.0,23 нояб.,1312
3-комнатная квартира · 99 м² · 15/16 этаж,65000000,Алматы,,2019.0,3,99.0,15.0,23 нояб.,19
1-комнатная квартира · 13.2 м² · 4/5 этаж,9500000,Алматы,,1983.0,1,13.2,4.0,23 нояб.,454
1-комнатная квартира · 48.2 м² · 11/12 этаж,45999999,Алматы,Алмалинский,2019.0,1,48.2,11.0,23 нояб.,83
3-комнатная квартира · 102 м² · 4/16 этаж,92000000,Алматы,,2023.0,3,102.0,4.0,23 нояб.,358
3-комнатная квартира · 69.2 м² · 1/3 этаж,24000000,Алматы,,1975.0,3,69.2,1.0,23 нояб.,304
3-комнатная квартира · 121 м² · 12/12 этаж,49200000,Алматы,,2018.0,3,121.0,12.0,23 нояб.,8196
2-комнатная квартира · 41 м² · 10/17 этаж,36500000,Алматы,,2020.0,2,41.0,10.0,23 нояб.,252
3-комнатная квартира · 113 м² · 6/10 этаж,82000000,Алматы,,2013.0,3,113.0,6.0,23 нояб.,868
3-комнатная квартира · 80 м² · 4/16 этаж,51500000,Алматы,,2011.0,3,80.0,4.0,23 нояб.,96
2-комнатная квартира · 70 м² · 7/10 этаж,32000000,Алматы,,2020.0,2,70.0,7.0,23 нояб.,121
3-комнатная квартира · 65 м² · 16/19 этаж,34900000,Алматы,,2012.0,3,65.0,16.0,23 нояб.,153
1-комнатная квартира · 30.4 м² · 3/3 этаж,22000000,Алматы,,1960.0,1,30.4,3.0,23 нояб.,462
4-комнатная квартира · 82 м² · 3/5 этаж,53000000,Алматы,Ауэзовский,1993.0,4,82.0,3.0,23 нояб.,154
1-комнатная квартира · 43 м² · 7/7 этаж,40000000,Алматы,,1974.0,1,43.0,7.0,23 нояб.,115
1-комнатная квартира · 41.3 м² · 8/12 этаж,28800000,Алматы,,2024.0,1,41.3,8.0,23 нояб.,714
2-комнатная квартира · 61 м² · 5/18 этаж,42500000,Алматы,,2012.0,2,61.0,5.0,23 нояб.,120
2-комнатная квартира · 70.2 м² · 8/15 этаж,40500000,Алматы,,2023.0,2,70.2,8.0,23 нояб.,694
2-комнатная квартира · 54 м² · 10/11 этаж,51000000,Алматы,,2018.0,2,54.0,10.0,23 нояб.,237
3-комнатная квартира · 102 м² · 8/20 этаж,55000000,Алматы,,2022.0,3,102.0,8.0,23 нояб.,3817
2-комнатная квартира · 69.5 м² · 4/10 этаж,62000000,Алматы,,2015.0,2,69.5,4.0,23 нояб.,179
3-комнатная квартира · 113 м² · 8/11 этаж,60500000,Алматы,,2010.0,3,113.0,8.0,23 нояб.,1303
1-комнатная квартира · 38 м² · 5/5 этаж,35700000,Алматы,,1979.0,1,38.0,5.0,23 нояб.,188
1-комнатная квартира · 46 м² · 3/5 этаж,28800000,Алматы,,1983.0,1,46.0,3.0,23 нояб.,257
3-комнатная квартира · 95 м² · 3/4 этаж,82000000,Алматы,,2020.0,3,95.0,3.0,23 нояб.,870
1-комнатная квартира · 40 м² · 5/12 этаж,39000000,Алматы,,2020.0,1,40.0,5.0,23 нояб.,63
2-комнатная квартира · 54.2 м² · 5/5 этаж,45000000,Алматы,,1975.0,2,54.2,5.0,23 нояб.,609
1-комнатная квартира · 45 м² · 20/21 этаж,32500000,Алматы,Алмалинский,2012.0,1,45.0,20.0,23 нояб.,563
3-комнатная квартира · 72 м² · 9/9 этаж,42000009,Алматы,Бостандыкский,1986.0,3,72.0,9.0,23 нояб.,2352
3-комнатная квартира · 142 м² · 7/12 этаж,85000000,Алматы,,2018.0,3,142.0,7.0,23 нояб.,533
2-комнатная квартира · 59 м² · 5/9 этаж,25999999,Алматы,Наурызбайский,2022.0,2,59.0,5.0,23 нояб.,457
2-комнатная квартира · 72 м² · 9/13 этаж,52900000,Алматы,,2016.0,2,72.0,9.0,23 нояб.,281
1-комнатная квартира · 44.3 м² · 1/6 этаж,22200000,Алматы,,2024.0,1,44.3,1.0,23 нояб.,1031
2-комнатная квартира · 52 м² · 9/18 этаж,36000000,Алматы,,2023.0,2,52.0,9.0,23 нояб.,40
3-комнатная квартира · 107 м² · 2/3 этаж,80000000,Алматы,,2019.0,3,107.0,2.0,23 нояб.,282
3-комнатная квартира · 65 м² · 1/6 этаж,40000000,Алматы,,2023.0,3,65.0,1.0,23 нояб.,2413
3-комнатная квартира · 91.53 м² · 3/3 этаж,63000000,Алматы,,2025.0,3,91.53,3.0,23 нояб.,2591
2-комнатная квартира · 62.9 м² · 5/15 этаж,62700000,Алматы,,2014.0,2,62.9,5.0,23 нояб.,18
2-комнатная квартира · 55 м² · 12/13 этаж,38000000,Алматы,,2024.0,2,55.0,12.0,23 нояб.,326
3-комнатная квартира · 95.18 м² · 11/12 этаж,46000000,Алматы,,2025.0,3,95.18,11.0,23 нояб.,573
2-комнатная квартира · 62 м² · 4/16 этаж,65999999,Алматы,,2024.0,2,62.0,4.0,23 нояб.,225
4-комнатная квартира · 73 м² · 4/5 этаж,71000000,Алматы,,1974.0,4,73.0,4.0,23 нояб.,1565
1-комнатная квартира · 35.9 м² · 5/5 этаж,31000000,Алматы,,1982.0,1,35.9,5.0,23 нояб.,564
2-комнатная квартира · 54 м² · 1/2 этаж,24000000,Алматы,,1969.0,2,54.0,1.0,23 нояб.,2261
1-комнатная квартира · 43.24 м² · 3/4 этаж,24000000,Алматы,,2023.0,1,43.24,3.0,23 нояб.,1244
3-комнатная квартира · 83 м² · 3/9 этаж,48000000,Алматы,,2020.0,3,83.0,3.0,23 нояб.,1292
1-комнатная квартира · 23 м² · 2/3 этаж,14000000,Алматы,,1979.0,1,23.0,2.0,23 нояб.,2683
2-комнатная квартира · 73 м² · 3/18 этаж,52000000,Алматы,,2012.0,2,73.0,3.0,23 нояб.,242
3-комнатная квартира · 75.6 м² · 4/5 этаж,38000000,Алматы,,2018.0,3,75.6,4.0,23 нояб.,575
2-комнатная квартира · 37 м² · 2/5 этаж,30000000,Алматы,,1977.0,2,37.0,2.0,23 нояб.,8481
3-комнатная квартира · 68.2 м² · 1/5 этаж,48000000,Алматы,,1993.0,3,68.2,1.0,23 нояб.,297
1-комнатная квартира · 46.2 м² · 9/13 этаж,24765840,Алматы,,2024.0,1,46.2,9.0,23 нояб.,66
2-комнатная квартира · 49 м² · 8/13 этаж,42000000,Алматы,,2024.0,2,49.0,8.0,23 нояб.,331
1-комнатная квартира · 35 м² · 4/5 этаж,24000000,Алматы,,2022.0,1,35.0,4.0,23 нояб.,248
3-комнатная квартира · 62 м² · 2/4 этаж,40000000,Алматы,,1971.0,3,62.0,2.0,23 нояб.,1731
4-комнатная квартира · 105 м² · 15/20 этаж,97000000,Алматы,,2022.0,4,105.0,15.0,23 нояб.,10
1-комнатная квартира · 47.3 м² · 5/9 этаж,22500000,Алматы,,2025.0,1,47.3,5.0,23 нояб.,614
3-комнатная квартира · 73 м² · 2/3 этаж,51666622,Алматы,,2022.0,3,73.0,2.0,23 нояб.,117
3-комнатная квартира · 89 м² · 5 этаж,51000000,Алматы,,2023.0,3,89.0,5.0,23 нояб.,2379
3-комнатная квартира · 105 м² · 11/14 этаж,110000000,Алматы,,2021.0,3,105.0,11.0,23 нояб.,1883
3-комнатная квартира · 110 м² · 5/17 этаж,99000000,Алматы,,2022.0,3,110.0,5.0,23 нояб.,2986
2-комнатная квартира · 42.3 м² · 2/4 этаж,27000000,Алматы,,1969.0,2,42.3,2.0,23 нояб.,1106
1-комнатная квартира · 45 м² · 9/17 этаж,47000000,Алматы,,2022.0,1,45.0,9.0,23 нояб.,571
1-комнатная квартира · 40.5 м² · 1/5 этаж,29000000,Алматы,,2006.0,1,40.5,1.0,23 нояб.,1171
3-комнатная квартира · 69 м² · 7/12 этаж,35500000,Алматы,,2024.0,3,69.0,7.0,23 нояб.,1794
3-комнатная квартира · 95 м² · 1/10 этаж,49000000,Алматы,,2021.0,3,95.0,1.0,23 нояб.,615
2-комнатная квартира · 38 м² · 2/2 этаж,32000000,Алматы,,1960.0,2,38.0,2.0,23 нояб.,1192
2-комнатная квартира · 61.8 м² · 4/12 этаж,63000000,Алматы,,2019.0,2,61.8,4.0,23 нояб.,435
3-комнатная квартира · 84.3 м² · 3/13 этаж,82000000,Алматы,,2020.0,3,84.3,3.0,23 нояб.,96
3-комнатная квартира · 70 м² · 3/5 этаж,46000000,Алматы,,1989.0,3,70.0,3.0,23 нояб.,1851
2-комнатная квартира · 47 м² · 4/16 этаж,55500000,Алматы,,2019.0,2,47.0,4.0,23 нояб.,16
1-комнатная квартира · 20.33 м²,13000000,Алматы,,1940.0,1,20.33,,23 нояб.,386
1-комнатная квартира · 43 м² · 12/13 этаж,38000000,Алматы,,2024.0,1,43.0,12.0,23 нояб.,474
1-комнатная квартира · 43 м² · 7/16 этаж,23500000,Алматы,,2015.0,1,43.0,7.0,23 нояб.,456
2-комнатная квартира · 50.6 м² · 1/3 этаж,50000000,Алматы,,2022.0,2,50.6,1.0,23 нояб.,785
2-комнатная квартира · 105 м² · 1/3 этаж,85000000,Алматы,,2022.0,2,105.0,1.0,23 нояб.,813
4-комнатная квартира · 191.9 м² · 4/4 этаж,155439000,Алматы,,2022.0,4,191.9,4.0,23 нояб.,264
3-комнатная квартира · 124.7 м² · 1/3 этаж,105995000,Алматы,,2022.0,3,124.7,1.0,23 нояб.,1011
4-комнатная квартира · 132.4 м² · 1/4 этаж,112540000,Алматы,,2022.0,4,132.4,1.0,23 нояб.,1392
3-комнатная квартира · 81 м² · 2/4 этаж,45000000,Алматы,,1993.0,3,81.0,2.0,23 нояб.,186
4-комнатная квартира · 214.1 м² · 2/4 этаж,181985000,Алматы,,2022.0,4,214.1,2.0,23 нояб.,944
1-комнатная квартира · 40 м² · 1/9 этаж,23000000,Алматы,,2023.0,1,40.0,1.0,23 нояб.,400
2-комнатная квартира · 62 м² · 11/12 этаж,41500000,Алматы,,2022.0,2,62.0,11.0,23 нояб.,19
1-комнатная квартира · 27.7 м² · 2/6 этаж,12500000,Алматы,,2009.0,1,27.7,2.0,23 нояб.,38
3-комнатная квартира · 78.2 м² · 5/10 этаж,47000000,Алматы,,2004.0,3,78.2,5.0,23 нояб.,576
1-комнатная квартира · 47 м² · 4/4 этаж,22500000,Алматы,,2012.0,1,47.0,4.0,23 нояб.,1066
1-комнатная квартира · 30 м² · 11/12 этаж,21000000,Алматы,,2018.0,1,30.0,11.0,23 нояб.,11
2-комнатная квартира · 60 м² · 3/12 этаж,40000000,Алматы,,2019.0,2,60.0,3.0,23 нояб.,29
2-комнатная квартира · 40 м² · 9/13 этаж,27500000,Алматы,,2022.0,2,40.0,9.0,23 нояб.,291
3-комнатная квартира · 77 м² · 2/12 этаж,45000000,Алматы,,2023.0,3,77.0,2.0,23 нояб.,1160
4-комнатная квартира · 167 м² · 15/17 этаж,130000000,Алматы,,2004.0,4,167.0,15.0,23 нояб.,812
1-комнатная квартира · 33.5 м² · 1/3 этаж,21000000,Алматы,,1961.0,1,33.5,1.0,23 нояб.,2984
3-комнатная квартира · 67 м² · 10/13 этаж,52000000,Алматы,,2019.0,3,67.0,10.0,23 нояб.,123
2-комнатная квартира · 46.6 м² · 13/13 этаж,45000000,Алматы,,2019.0,2,46.6,13.0,23 нояб.,739
6-комнатная квартира · 220 м² · 2/3 этаж,170000000,Алматы,,2011.0,6,220.0,2.0,23 нояб.,674
3-комнатная квартира · 101 м² · 5/13 этаж,82000000,Алматы,,2017.0,3,101.0,5.0,23 нояб.,295
2-комнатная квартира · 59 м² · 9/12 этаж,42000000,Алматы,,2022.0,2,59.0,9.0,23 нояб.,187
1-комнатная квартира · 60 м² · 13/17 этаж,47000000,Алматы,,2015.0,1,60.0,13.0,23 нояб.,156
1-комнатная квартира · 31 м² · 7/7 этаж,16800000,Алматы,,2016.0,1,31.0,7.0,23 нояб.,6
3-комнатная квартира · 75.3 м² · 14/16 этаж,45000000,Алматы,,2025.0,3,75.3,14.0,23 нояб.,13
2-комнатная квартира · 58.7 м² · 10/12 этаж,37000000,Алматы,,2022.0,2,58.7,10.0,23 нояб.,2716
3-комнатная квартира · 57 м² · 3/5 этаж,39000000,Алматы,,1987.0,3,57.0,3.0,23 нояб.,18
2-комнатная квартира · 66 м² · 1/5 этаж,55000000,Алматы,,2019.0,2,66.0,1.0,23 нояб.,10
7-комнатная квартира · 300 м² · 3/3 этаж,480000000,Алматы,,2022.0,7,300.0,3.0,23 нояб.,23
2-комнатная квартира · 81.6 м² · 6/16 этаж,49500000,Алматы,,2012.0,2,81.6,6.0,23 нояб.,89
3-комнатная квартира · 68.9 м² · 9/9 этаж,48000000,Алматы,,2022.0,3,68.9,9.0,23 нояб.,149
1-комнатная квартира · 31 м² · 8/12 этаж,40000000,Алматы,,2024.0,1,31.0,8.0,23 нояб.,257
3-комнатная квартира · 86.7 м² · 1/3 этаж,81000000,Алматы,,2017.0,3,86.7,1.0,23 нояб.,660
3-комнатная квартира · 125 м² · 10/21 этаж,150000000,Алматы,,2014.0,3,125.0,10.0,23 нояб.,458
4-комнатная квартира · 90.2 м² · 2/9 этаж,65000000,Алматы,,1993.0,4,90.2,2.0,23 нояб.,4375
2-комнатная квартира · 59.1 м² · 1/9 этаж,29000000,Алматы,,2022.0,2,59.1,1.0,23 нояб.,794
2-комнатная квартира · 60 м² · 2/3 этаж,85000000,Алматы,,2023.0,2,60.0,2.0,23 нояб.,858
3-комнатная квартира · 65.7 м² · 4/5 этаж,36000000,Алматы,,1980.0,3,65.7,4.0,23 нояб.,2049
3-комнатная квартира · 88 м² · 12/13 этаж,63000000,Алматы,,2019.0,3,88.0,12.0,23 нояб.,173
2-комнатная квартира · 55 м² · 6/9 этаж,60000000,Алматы,,1989.0,2,55.0,6.0,23 нояб.,638
1-комнатная квартира · 33.3 м² · 7/9 этаж,14600000,Алматы,,2025.0,1,33.3,7.0,23 нояб.,336
2-комнатная квартира · 54 м² · 7/15 этаж,46500000,Алматы,,2023.0,2,54.0,7.0,23 нояб.,327
2-комнатная квартира · 45 м² · 11/13 этаж,35500000,Алматы,,2020.0,2,45.0,11.0,23 нояб.,11
3-комнатная квартира · 178 м² · 13/13 этаж,155000000,Алматы,,2017.0,3,178.0,13.0,23 нояб.,10
1-комнатная квартира · 45 м² · 9/9 этаж,40000000,Алматы,,1986.0,1,45.0,9.0,23 нояб.,115
2-комнатная квартира · 43.1 м² · 1/4 этаж,23000000,Алматы,,1969.0,2,43.1,1.0,23 нояб.,772
3-комнатная квартира · 82.1 м² · 9/16 этаж,50000000,Алматы,,2022.0,3,82.1,9.0,23 нояб.,251
3-комнатная квартира · 91.3 м² · 9/9 этаж,70000000,Алматы,,2022.0,3,91.3,9.0,23 нояб.,1646
3-комнатная квартира · 83 м² · 2/5 этаж,63000000,Алматы,,1984.0,3,83.0,2.0,23 нояб.,532
2-комнатная квартира · 43 м² · 12/13 этаж,29500000,Алматы,,2020.0,2,43.0,12.0,23 нояб.,16
2-комнатная квартира · 40 м² · 7/14 этаж,28000000,Алматы,,2019.0,2,40.0,7.0,23 нояб.,1273
1-комнатная квартира · 12 м² · 1 этаж,3000000,Алматы,,2012.0,1,12.0,1.0,23 нояб.,73
3-комнатная квартира · 76.3 м² · 7/20 этаж,49500000,Алматы,,2024.0,3,76.3,7.0,23 нояб.,196
4-комнатная квартира · 132 м² · 2/6 этаж,105000000,Алматы,,2010.0,4,132.0,2.0,23 нояб.,311
2-комнатная квартира · 60 м² · 7/16 этаж,70000000,Алматы,,2008.0,2,60.0,7.0,23 нояб.,4
2-комнатная квартира · 61.8 м² · 10/13 этаж,49999999,Алматы,,2024.0,2,61.8,10.0,23 нояб.,19
3-комнатная квартира · 80 м² · 1/2 этаж,95000000,Алматы,,1959.0,3,80.0,1.0,23 нояб.,44
2-комнатная квартира · 74.1 м² · 2/3 этаж,58000000,Алматы,,2021.0,2,74.1,2.0,23 нояб.,416
2-комнатная квартира · 44.7 м² · 8/10 этаж,25500000,Алматы,,2019.0,2,44.7,8.0,23 нояб.,12
3-комнатная квартира · 75 м² · 5/12 этаж,110000000,Алматы,,2021.0,3,75.0,5.0,23 нояб.,65
4-комнатная квартира · 175 м² · 1/6 этаж,220000000,Алматы,,2007.0,4,175.0,1.0,23 нояб.,628
3-комнатная квартира · 113 м² · 9/10 этаж,115000000,Алматы,,2015.0,3,113.0,9.0,23 нояб.,2947
2-комнатная квартира · 56 м²,30000000,Алматы,,2022.0,2,56.0,,23 нояб.,415
2-комнатная квартира · 42.8 м² · 1/11 этаж,36999990,Алматы,,2022.0,2,42.8,1.0,23 нояб.,420
3-комнатная квартира · 87 м² · 2/4 этаж,43500000,Алматы,,2014.0,3,87.0,2.0,23 нояб.,302
2-комнатная квартира · 50 м² · 5/10 этаж,51500000,Алматы,,2020.0,2,50.0,5.0,23 нояб.,1265
2-комнатная квартира · 42.1 м² · 2/2 этаж,27000000,Алматы,,1964.0,2,42.1,2.0,23 нояб.,36
1-комнатная квартира · 20 м² · 4/5 этаж,9000000,Алматы,,1979.0,1,20.0,4.0,23 нояб.,1357
4-комнатная квартира · 135 м² · 3/5 этаж,100000000,Алматы,,1993.0,4,135.0,3.0,23 нояб.,140
1-комнатная квартира · 35 м² · 3/4 этаж,11500000,Алматы,,1979.0,1,35.0,3.0,23 нояб.,731
1-комнатная квартира · 56 м² · 10/13 этаж,29300000,Алматы,,2024.0,1,56.0,10.0,23 нояб.,147
1-комнатная квартира · 20 м² · 2/2 этаж,7000000,Алматы,,1970.0,1,20.0,2.0,23 нояб.,4676
1-комнатная квартира · 42 м² · 6/10 этаж,24000000,Алматы,,2018.0,1,42.0,6.0,23 нояб.,1576
2-комнатная квартира · 42.8 м² · 4/4 этаж,20000000,Алматы,,2023.0,2,42.8,4.0,23 нояб.,66
1-комнатная квартира · 42 м² · 10/10 этаж,30000000,Алматы,,2013.0,1,42.0,10.0,23 нояб.,856
1-комнатная квартира · 50 м² · 3/9 этаж,41000000,Алматы,,2006.0,1,50.0,3.0,23 нояб.,748
2-комнатная квартира · 52 м² · 1/10 этаж,43500000,Алматы,,2011.0,2,52.0,1.0,23 нояб.,70
3-комнатная квартира · 68 м² · 5/5 этаж,28500000,Алматы,,1993.0,3,68.0,5.0,23 нояб.,1776
3-комнатная квартира · 100 м² · 4/16 этаж,95000000,Алматы,,2020.0,3,100.0,4.0,23 нояб.,143
3-комнатная квартира · 68 м² · 1/5 этаж,29500000,Алматы,,1988.0,3,68.0,1.0,23 нояб.,1610
2-комнатная квартира · 48 м² · 2/4 этаж,43200000,Алматы,,2011.0,2,48.0,2.0,23 нояб.,1246
3-комнатная квартира · 100 м²,132000000,Алматы,,2019.0,3,100.0,,23 нояб.,1635
2-комнатная квартира · 60 м² · 12/17 этаж,63500000,Алматы,,2024.0,2,60.0,12.0,23 нояб.,16
2-комнатная квартира · 70 м² · 12/20 этаж,60000000,Алматы,,2013.0,2,70.0,12.0,23 нояб.,365
6-комнатная квартира · 170 м² · 5/5 этаж,120000000,Алматы,,1995.0,6,170.0,5.0,23 нояб.,479
1-комнатная квартира · 50 м² · 10/12 этаж,17000000,Алматы,,2025.0,1,50.0,10.0,23 нояб.,30
2-комнатная квартира · 47 м² · 10/10 этаж,65000000,Алматы,,2021.0,2,47.0,10.0,23 нояб.,901
2-комнатная квартира · 57 м² · 5/9 этаж,35000000,Алматы,,2023.0,2,57.0,5.0,23 нояб.,30
2-комнатная квартира · 64 м² · 5/5 этаж,27000000,Алматы,,2016.0,2,64.0,5.0,23 нояб.,725
1-комнатная квартира · 64 м² · 10/16 этаж,29000000,Алматы,,2013.0,1,64.0,10.0,23 нояб.,67
2-комнатная квартира · 70 м² · 13 этаж,62000000,Алматы,,2018.0,2,70.0,13.0,23 нояб.,11
1-комнатная квартира · 45 м² · 3/14 этаж,36500000,Алматы,,2014.0,1,45.0,3.0,23 нояб.,25
3-комнатная квартира · 123.6 м² · 7/18 этаж,86000000,Алматы,,2013.0,3,123.6,7.0,23 нояб.,111
1-комнатная квартира · 43.7 м² · 5/12 этаж,29300000,Алматы,,2009.0,1,43.7,5.0,23 нояб.,155
2-комнатная квартира · 52 м² · 8/10 этаж,31000000,Алматы,,2023.0,2,52.0,8.0,23 нояб.,1755
1-комнатная квартира · 30 м² · 2/3 этаж,19500000,Алматы,,1978.0,1,30.0,2.0,23 нояб.,11
1-комнатная квартира · 30.2 м² · 2/4 этаж,28000000,Алматы,,1970.0,1,30.2,2.0,23 нояб.,202
1-комнатная квартира · 40 м² · 9/14 этаж,26300000,Алматы,,2017.0,1,40.0,9.0,23 нояб.,1309
1-комнатная квартира · 20 м² · 1/6 этаж,7000000,Алматы,,2008.0,1,20.0,1.0,23 нояб.,45
2-комнатная квартира · 64 м² · 2/2 этаж,70000000,Алматы,,1959.0,2,64.0,2.0,23 нояб.,57
1-комнатная квартира · 44.7 м² · 18/20 этаж,55000000,Алматы,,2023.0,1,44.7,18.0,23 нояб.,303
3-комнатная квартира · 58 м² · 3/5 этаж,37000000,Алматы,,1974.0,3,58.0,3.0,23 нояб.,4
2-комнатная квартира · 47 м² · 10/15 этаж,58500000,Алматы,,2020.0,2,47.0,10.0,23 нояб.,12
4-комнатная квартира · 75 м² · 4/4 этаж,43000000,Алматы,,1969.0,4,75.0,4.0,23 нояб.,900
3-комнатная квартира · 90 м² · 11/12 этаж,60500000,Алматы,,2023.0,3,90.0,11.0,23 нояб.,1124
2-комнатная квартира · 62.79 м² · 4/12 этаж,46000000,Алматы,,2024.0,2,62.79,4.0,23 нояб.,285
1-комнатная квартира · 45 м² · 13/15 этаж,38900000,Алматы,,2023.0,1,45.0,13.0,23 нояб.,3178
3-комнатная квартира · 75 м² · 7/8 этаж,54000000,Алматы,,1985.0,3,75.0,7.0,23 нояб.,14
3-комнатная квартира · 98 м² · 1/3 этаж,192000000,Алматы,,2019.0,3,98.0,1.0,23 нояб.,769
1-комнатная квартира · 27.4 м² · 4/12 этаж,14500000,Алматы,,2024.0,1,27.4,4.0,23 нояб.,95
1-комнатная квартира · 42 м² · 6/6 этаж,23300000,Алматы,,2024.0,1,42.0,6.0,23 нояб.,23
2-комнатная квартира · 64 м² · 3/5 этаж,57000000,Алматы,,1970.0,2,64.0,3.0,23 нояб.,1127
1-комнатная квартира · 41 м² · 8/9 этаж,28999999,Алматы,,1990.0,1,41.0,8.0,23 нояб.,879
3-комнатная квартира · 90 м² · 4 этаж,45000000,Алматы,,2020.0,3,90.0,4.0,23 нояб.,1875
1-комнатная квартира · 20 м² · 2/5 этаж,14000000,Алматы,,1976.0,1,20.0,2.0,23 нояб.,3561
4-комнатная квартира · 120 м² · 12/12 этаж,119900000,Алматы,,2023.0,4,120.0,12.0,23 нояб.,1272
1-комнатная квартира · 36.5 м² · 1/9 этаж,28000000,Алматы,,1994.0,1,36.5,1.0,23 нояб.,98
2-комнатная квартира · 70 м²,56000000,Алматы,,2007.0,2,70.0,,23 нояб.,874
2-комнатная квартира · 36 м² · 2/2 этаж,18000000,Алматы,,1971.0,2,36.0,2.0,23 нояб.,2153
2-комнатная квартира · 45 м² · 15/15 этаж,53500000,Алматы,,2020.0,2,45.0,15.0,23 нояб.,17
1-комнатная квартира · 42 м² · 1/4 этаж,9000000,Алматы,,2008.0,1,42.0,1.0,23 нояб.,512
3-комнатная квартира · 91 м² · 7 этаж,56000000,Алматы,,2023.0,3,91.0,7.0,23 нояб.,73
2-комнатная квартира · 60.5 м² · 3/13 этаж,44500000,Алматы,,2022.0,2,60.5,3.0,23 нояб.,170
3-комнатная квартира · 55 м² · 1/4 этаж,38000000,Алматы,,1970.0,3,55.0,1.0,23 нояб.,195
3-комнатная квартира · 61 м² · 3/5 этаж,36500000,Алматы,,1989.0,3,61.0,3.0,23 нояб.,35
2-комнатная квартира · 41.5 м² · 1/4 этаж,25500000,Алматы,,1962.0,2,41.5,1.0,23 нояб.,12
4-комнатная квартира · 160 м² · 16/17 этаж,105000000,Алматы,,2007.0,4,160.0,16.0,23 нояб.,136
3-комнатная квартира · 80.1 м² · 2/10 этаж,60000000,Алматы,,2020.0,3,80.1,2.0,23 нояб.,3110
2-комнатная квартира · 60 м² · 8/14 этаж,48500000,Алматы,,2012.0,2,60.0,8.0,23 нояб.,1251
2-комнатная квартира · 64.3 м² · 1/12 этаж,53000000,Алматы,,2023.0,2,64.3,1.0,23 нояб.,27
1-комнатная квартира · 27.5 м² · 7/10 этаж,20000000,Алматы,,2021.0,1,27.5,7.0,23 нояб.,2761
1-комнатная квартира · 36.9 м² · 6/12 этаж,25000000,Алматы,,2020.0,1,36.9,6.0,23 нояб.,505
1-комнатная квартира · 43.6 м² · 3/9 этаж,29000000,Алматы,,2000.0,1,43.6,3.0,23 нояб.,12
3-комнатная квартира · 75 м² · 4/17 этаж,65000000,Алматы,,2022.0,3,75.0,4.0,23 нояб.,1191
5-комнатная квартира · 250 м² · 11/22 этаж,200000000,Алматы,,2008.0,5,250.0,11.0,23 нояб.,2133
1-комнатная квартира · 32.9 м² · 4/9 этаж,17015560,Алматы,,2025.0,1,32.9,4.0,23 нояб.,2063
2-комнатная квартира · 44.2 м² · 9/12 этаж,26500000,Алматы,,2013.0,2,44.2,9.0,23 нояб.,23
3-комнатная квартира · 168 м² · 5/13 этаж,150000000,Алматы,,2012.0,3,168.0,5.0,23 нояб.,1483
2-комнатная квартира · 48.7 м² · 14/17 этаж,29500000,Алматы,,2020.0,2,48.7,14.0,23 нояб.,17
3-комнатная квартира · 68 м² · 2/5 этаж,50000000,Алматы,,1986.0,3,68.0,2.0,23 нояб.,1039
2-комнатная квартира · 43.9 м² · 1/2 этаж,20900000,Алматы,,1965.0,2,43.9,1.0,23 нояб.,590
2-комнатная квартира · 25 м² · 3/4 этаж,14500000,Алматы,,1984.0,2,25.0,3.0,23 нояб.,86
2-комнатная квартира · 39 м² · 1/12 этаж,45000000,Алматы,,2019.0,2,39.0,1.0,23 нояб.,1780
1-комнатная квартира · 53.25 м² · 3/9 этаж,20000000,Алматы,,2025.0,1,53.25,3.0,23 нояб.,566
2-комнатная квартира · 63 м² · 2/18 этаж,40000000,Алматы,,2012.0,2,63.0,2.0,23 нояб.,180
1-комнатная квартира · 31.7 м² · 11/12 этаж,22700000,Алматы,,2000.0,1,31.7,11.0,23 нояб.,287
3-комнатная квартира · 73.2 м² · 9/12 этаж,44000000,Алматы,,2022.0,3,73.2,9.0,23 нояб.,2092
3-комнатная квартира · 58.4 м² · 4/4 этаж,38000000,Алматы,,1965.0,3,58.4,4.0,23 нояб.,1398
2-комнатная квартира · 83.1 м² · 4/5 этаж,31000000,Алматы,,2024.0,2,83.1,4.0,23 нояб.,2128
